device_name,attribute,unit,bmad_ele_name,bmad_factor,bmad_attribute,example_value
BPMS:LI29:301,Y1H,mm,BPM29301,1/1000,y,0
BPMS:LI29:401,X1H,mm,BPM29401,1/1000,x,0
BPMS:LI29:401,Y1H,mm,BPM29401,1/1000,y,0
BPMS:LI29:501,X1H,mm,BPM29501,1/1000,x,0
BPMS:LI29:501,Y1H,mm,BPM29501,1/1000,y,0
BPMS:LI29:601,X1H,mm,BPM29601,1/1000,x,0
BPMS:LI29:601,Y1H,mm,BPM29601,1/1000,y,0
BPMS:LI29:701,X1H,mm,BPM29701,1/1000,x,0
BPMS:LI29:701,Y1H,mm,BPM29701,1/1000,y,0
BPMS:LI29:801,X1H,mm,BPM29801,1/1000,x,0
BPMS:LI29:801,Y1H,mm,BPM29801,1/1000,y,0
BPMS:LI29:901,X1H,mm,BPM29901,1/1000,x,0
BPMS:LI29:901,Y1H,mm,BPM29901,1/1000,y,0
BPMS:LI30:201,X1H,mm,BPM30201,1/1000,x,0
BPMS:LI30:201,Y1H,mm,BPM30201,1/1000,y,0
BPMS:LI30:301,X1H,mm,BPM30301,1/1000,x,0
BPMS:LI30:301,Y1H,mm,BPM30301,1/1000,y,0
BPMS:LI30:401,X1H,mm,BPM30401,1/1000,x,0
BPMS:LI30:401,Y1H,mm,BPM30401,1/1000,y,0
BPMS:LI30:501,X1H,mm,BPM30501,1/1000,x,0
BPMS:LI30:501,Y1H,mm,BPM30501,1/1000,y,0
BPMS:LI30:601,X1H,mm,BPM30601,1/1000,x,0
BPMS:LI30:601,Y1H,mm,BPM30601,1/1000,y,0
BPMS:LI30:701,X1H,mm,BPM30701,1/1000,x,0
BPMS:LI30:701,Y1H,mm,BPM30701,1/1000,y,0
BPMS:LI30:801,X1H,mm,BPM30801,1/1000,x,0
BPMS:LI30:801,Y1H,mm,BPM30801,1/1000,y,0
BPMS:CLTH:140,X1H,mm,BPMBSYQ1,1/1000,x,0
BPMS:CLTH:140,Y1H,mm,BPMBSYQ1,1/1000,y,0
BPMS:CLTH:170,X1H,mm,BPMBSYQ2,1/1000,x,0
BPMS:CLTH:170,Y1H,mm,BPMBSYQ2,1/1000,y,0
BPMS:BSYH:445,X1H,mm,BPMBSYQ3,1/1000,x,0
BPMS:BSYH:445,Y1H,mm,BPMBSYQ3,1/1000,y,0
BPMS:BSYH:465,X1H,mm,BPMBSYQ4,1/1000,x,0
BPMS:BSYH:465,Y1H,mm,BPMBSYQ4,1/1000,y,0
BPMS:BSYH:640,X1H,mm,BPMBSYQ5,1/1000,x,0
BPMS:BSYH:640,Y1H,mm,BPMBSYQ5,1/1000,y,0
BPMS:BSYH:735,X1H,mm,BPMBSYQ6,1/1000,x,0
BPMS:BSYH:735,Y1H,mm,BPMBSYQ6,1/1000,y,0
BPMS:BSYH:910,X1H,mm,BPMBSYQA0,1/1000,x,0
BPMS:BSYH:910,Y1H,mm,BPMBSYQA0,1/1000,y,0
BPMS:LTU0:110,X1H,mm,BPMVM1,1/1000,x,0
BPMS:LTU0:110,Y1H,mm,BPMVM1,1/1000,y,0
BPMS:LTU0:120,X1H,mm,BPMVM2,1/1000,x,0
BPMS:LTU0:120,Y1H,mm,BPMVM2,1/1000,y,0
BPMS:LTU0:130,X1H,mm,BPMVB1,1/1000,x,0
BPMS:LTU0:130,Y1H,mm,BPMVB1,1/1000,y,0
BPMS:LTU0:150,X1H,mm,BPMVB2,1/1000,x,0
BPMS:LTU0:150,Y1H,mm,BPMVB2,1/1000,y,0
BPMS:LTU0:170,X1H,mm,BPMVB3,1/1000,x,0
